"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2610","113086","2401","109890","32","3011","185"
"2","SAS Nagar","4550","100239","4114","98647","18","1166","426"
"3","Jalandhar","2308","80573","2026","78364","18","1958","251"
"4","Patiala","1808","63888","1640","62023","8","1719","146"
"5","Amritsar","1059","60614","938","58646","4","1844","124"
"6","Bathinda","1203","52070","1060","50503","2","1425","142"
"7","Hoshiarpur","987","42096","858","40590","11","1411","95"
"8","Gurdaspur","287","27214","248","26321","3","867","26"
"9","Pathankot","440","24942","372","24387","4","521","34"
"10","Fazilka","306","23738","303","23106","0","621","11"
"11","Muktsar","194","22746","167","22177","1","540","29"
"12","Kapurthala","441","22470","382","21824","3","595","51"
"13","Ropar","861","18799","755","18238","4","459","102"
"14","Ferozepur","379","18272","338","17698","3","540","34"
"15","Mansa","169","17394","162","16998","1","393","3"
"16","Faridkot","324","17159","307","16728","3","413","18"
"17","Sangrur","251","14685","240","13813","5","865","7"
"18","SBS Nagar","361","13763","336","13324","0","409","30"
"19","FG Sahib","585","12500","539","12019","1","437","44"
"20","Moga","179","11178","150","10881","3","269","28"
"21","Tarn Taran","110","11010","86","10591","1","399","20"
"22","Barnala","164","7664","152","7290","4","361","13"
"23","Malerkotla","51","4054","47","3838","3","214","2"
"","Total","19627","780154","17621","757896","132","20437","1821"
