"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87713","32","85565","2116"
"2","SAS Nagar","69044","54","67917","1073"
"3","Jalandhar","63536","18","62018","1500"
"4","Patiala","49005","21","47622","1362"
"5","Amritsar","47443","4","45840","1599"
"6","Bathinda","41809","19","40743","1047"
"7","Hoshiarpur","30994","39","29960","995"
"8","Gurdaspur","22416","8","21605","803"
"9","Fazilka","20283","1","19752","530"
"10","Pathankot","18993","24","18539","430"
"11","Muktsar","18806","4","18278","524"
"12","Kapurthala","17889","19","17314","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14478","44","13930","504"
"16","Faridkot","13956","4","13632","320"
"17","Ropar","13006","10","12569","427"
"18","SBS Nagar","11478","6","11084","388"
"19","FG Sahib","8907","2","8569","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8078","13","7684","381"
"22","Barnala","5956","7","5705","244"
"","Total","603853","333","586895","16625"
