,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Alappuzha,250,34,322,,1001,20680,0,1777.0,134.0,1738.0,,4907.0,91481.0,2121943,,,,318853,2036,316618,,1525837,972522,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
1,1,1,1,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Ernakulam,922,64,484,,2453,24759,0,6306.0,557.0,6769.0,,11046.0,95571.0,3279860,,,,613077,4331,595704,,2970161,1890527,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
2,2,2,2,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Idukki,306,41,102,,337,6198,0,2187.0,61.0,2354.0,,1994.0,30790.0,1107453,,,,150666,600,144316,,862179,524665,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
3,3,3,3,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Kannur,471,7,255,,1468,23086,0,2797.0,162.0,2445.0,,7655.0,106152.0,2525637,,,,279566,2598,273421,,1902173,1093032,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
4,4,4,4,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Kasaragod,124,7,106,,480,5020,0,830.0,59.0,841.0,,3503.0,31263.0,1302600,,,,140061,701,136247,,916285,565125,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
5,5,5,5,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Kollam,694,8,509,,1514,20263,0,4640.0,180.0,4223.0,,5874.0,74114.0,2629703,,,,397597,2756,390797,,1960974,1154283,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
6,6,6,6,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Kottayam,560,0,600,,752,15316,0,3640.0,167.0,3407.0,,4783.0,74401.0,1979384,,,,328257,1542,322117,,1484508,937720,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
7,7,7,7,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Kozhikode,708,89,637,,1650,12574,0,4985.0,321.0,5290.0,,10531.0,70759.0,3089543,,,,535138,3862,527072,,2356975,1253561,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
8,8,8,8,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Malappuram,333,31,324,,2881,14299,0,1664.0,184.0,2566.0,,19500.0,78747.0,4110956,,,,570552,2791,566503,,2867693,1214104,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
9,9,9,9,2021-11-11,KL,7224,419,7638,73015,18067,201559,0,46827.0,2306.0,49441.0,464960.0,104568.0,1020734.0,Palakkad,335,4,378,,2294,15984,0,1955.0,57.0,2570.0,,12521.0,87955.0,2810892,,,,376979,2985,368478,,2008250,1077096,2021-11-12 05:51:32.865005,35125000,2021-11-12 05:51:32.865682,,,5042082,35040,4936791,38609435,25471802,15056480,0,0,0,0,0
