,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
0,0,0,0,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Amritsar,0,0,4,,3638,4735,0,14.0,0.0,28.0,,13261.0,18435.0,2490891,,,,47402,1598,45797,,1280127,469368,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
1,1,1,1,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Barnala,2,0,3,,953,1294,0,4.0,0.0,3.0,,5333.0,6088.0,596294,,,,5954,244,5702,,336618,112085,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
2,2,2,2,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Bathinda,2,0,1,,883,1326,0,17.0,0.0,17.0,,5119.0,6827.0,1388859,,,,41746,1042,40686,,631605,211503,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
3,3,3,3,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Faridkot,0,0,0,,763,1960,0,3.0,0.0,6.0,,2532.0,6375.0,618008,,,,13930,315,13612,,334010,136582,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
4,4,4,4,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Fatehgarh Sahib,0,0,0,,303,1041,0,5.0,0.0,2.0,,1434.0,4471.0,599814,,,,8883,335,8541,,357519,142197,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
5,5,5,5,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Fazilka,0,0,0,,678,984,0,4.0,1.0,8.0,,3698.0,5520.0,1180483,,,,20277,529,19743,,495186,138824,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
6,6,6,6,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Ferozepur,4,0,0,,654,1595,0,11.0,0.0,4.0,,3854.0,7589.0,2026831,,,,14361,504,13840,,481867,137866,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
7,7,7,7,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Gurdaspur,1,0,0,,7082,15451,0,6.0,0.0,2.0,,17558.0,40116.0,2299026,,,,22387,801,21580,,886186,466217,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
8,8,8,8,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Hoshiarpur,6,1,1,,1266,4827,0,18.0,1.0,13.0,,4043.0,16520.0,1582793,,,,30847,987,29842,,1006214,596202,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
9,9,9,9,2021-11-11,PB,48,3,21,35351,31839,70773,0,229.0,8.0,195.0,159894.0,126859.0,270836.0,Jalandhar,6,0,3,,1695,5972,0,25.0,0.0,18.0,,7975.0,25266.0,2181753,,,,63430,1496,61895,,1445104,714539,2022-01-03T00:01:38.816084+05:30,29859000,,,,602695,16570,585859,15700390,16120350,6586057,0,0,0,0,0
