"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,666"
"2","Number of persons tested positive today in Tamil Nadu","656"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Total","657"
"3","Total Number of persons tested positive till date","27,36,046"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,085/ 
5,55,96,111@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","99,851/ 
5,46,60,522"
"6","No. of Male / Female / Transgender tested positive today","382/275/0"
"7","No. of Male / Female / Transgender tested positive till date","15,97,039/11,38,969/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","702/ 
26,91,756"
"10","Total number of deaths today/ till date","12(5 Private &  
7 Govt) /36,624)"
