"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","22","16","65505","0","4530","70029","19"
"Bageshwar","58","60","35311","0","2089","37396","23"
"Chamoli","114","94","48579","0","3204","51781","55"
"Champawat","22","1","62625","0","1912","64534","23"
"Dehradun","380","377","371037","8","33207","404109","27"
"Haridwar","94","89","307278","2","13139","320387","22"
"Nainital","152","246","87052","1","11372","98354","33"
"Pauri Garhwal","115","124","94268","0","5278","99539","14"
"Pithoragarh","112","10","41480","0","2560","44028","21"
"Rudraprayag","24","21","27343","3","2709","30052","15"
"Tehri Garhwal","133","151","37151","0","2368","39512","14"
"US Nagar","629","233","137031","0","8806","145813","76"
"Uttarkashi","109","219","40168","3","1660","41826","34"
"Total","1964","1641","1354828","17","92834","1447360","376"
