"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","638","685","4314"
"Kollam","268","219","2541"
"Pathanamthitta","159","318","1396"
"Alappuzha","155","479","1894"
"Kottayam","314","790","3125"
"Idukki","161","710","2542"
"Ernakulam","552","1486","5570"
"Thrissur","235","714","2930"
"Palakkad","127","351","1010"
"Malappuram","128","448","2062"
"Kozhikode","232","624","2728"
"Wayanad","108","330","1525"
"Kannur","122","70","930"
"Kasaragod","63","115","413"
"Total","3262","7339","32980"
