"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87720","33","85571","2116"
"2","SAS Nagar","69055","55","67927","1073"
"3","Jalandhar","63544","25","62019","1500"
"4","Patiala","49008","16","47630","1362"
"5","Amritsar","47447","7","45841","1599"
"6","Bathinda","41815","13","40755","1047"
"7","Hoshiarpur","31001","33","29972","996"
"8","Gurdaspur","22415","6","21606","803"
"9","Fazilka","20283","1","19752","530"
"10","Pathankot","19004","33","18541","430"
"11","Muktsar","18807","4","18279","524"
"12","Kapurthala","17891","19","17316","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14478","12","13962","504"
"16","Faridkot","13956","4","13632","320"
"17","Ropar","13007","9","12570","428"
"18","SBS Nagar","11479","7","11084","388"
"19","FG Sahib","8908","3","8568","337"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8079","14","7684","381"
"22","Barnala","5957","8","5705","244"
"","Total","603917","306","586983","16628"
