"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 09-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","66","293","261380","260081[43]","99.50","1006","1393","1464","647","5087347"
"2","Faridabad","16","49","127104","126316[1]","99.38","739","495","803","340","3877227"
"3","Hisar","0","2","62049","60872","98.10","1175","150","597","59","2300712"
"4","Sonepat","0","4","58559","58279[4]","99.52","276","102","317","68","2227064"
"5","Karnal","0","1","48172","47575","98.76","596","143","331","79","2309018"
"6","Panipat","0","0","36059","35387","98.14","672","122","439","56","1995734"
"7","Panchkula","3","4","44137","43719[1]","99.05","414","135","210","133","1073533"
"8","Ambala","0","0","40758","40216","98.67","542","383","419","140","2059911"
"9","Sirsa","0","0","33372","32833","98.38","539","43","348","23","1898081"
"10","Rohtak","0","0","31823","31269","98.26","537","56","651","97","1653043"
"11","Yamunanagar","0","0","30649","30194","98.52","455","97","878","55","1881532"
"12","Bhiwani","0","2","26488","25821","97.48","665","279","254","7","1719379"
"13","Kurukshetra","1","2","26824","26425","98.51","397","129","631","76","1475368"
"14","Mahindergarh","0","0","24754","24589","99.33","165","20","167","44","1345911"
"15","Jind","0","0","24348","23806","97.77","542","127","1330","39","1662223"
"16","Rewari","0","0","24589","24365","99.09","224","45","141","77","1521683"
"17","Jhajjar","0","0","23426","23070","98.48","350","64","154","24","1540145"
"18","Fatehabad","0","3","20058","19557","97.50","498","10","90","17","1182088"
"19","Kaithal","0","1","14229","13857","97.39","371","8","287","18","1694279"
"20","Palwal","0","0","13475","13305","98.74","170","148","223","35","1486116"
"21","Charkhi Dadri","1","1","7427","7281","98.03","145","33","197","106","855519"
"22","Nuh","0","1","6108","5968","97.71","139","3","80","3","1217582"
"Haryana","","87","363","985788","974785[49]","98.88","10617","3985","10011","2143","42063495"
