"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
05-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","6","181459","180481[5]","99.46","922","56","127","862","3587528"
"2","Faridabad","0","99907","99175[2]","99.27","716","16","247","851","2510395"
"3","Hisar","0","53995","52859[1]","97.90","1136","0","31","104","1330103"
"4","Sonepat","0","47138","46884","99.46","254","0","305","677","1410070"
"5","Karnal","0","40037","39484","98.62","552","1","6","34","1458490"
"6","Panipat","0","31150","30511","97.95","638","1","119","426","1110103"
"7","Panchkula","1","30774","30387[1]","98.74","379","8","3","70","740452"
"8","Ambala","0","30150","29641","98.31","509","0","46","266","1453297"
"9","Sirsa","0","29282","28774","98.27","508","0","30","92","1067937"
"10","Rohtak","0","25903","25351","97.87","534","1","425","388","988161"
"11","Yamunanagar","0","24631","24217","98.32","414","0","68","150","1176323"
"12","Bhiwani","0","22409","21757","97.09","652","0","7","49","1068478"
"13","Kurukshetra","0","22148","21791","98.39","357","0","46","202","861433"
"14","Mahindergarh","0","21689","21534","99.29","155","0","246","574","846198"
"15","Jind","0","21209","20676","97.49","533","0","309","1042","964481"
"16","Rewari","0","20327","20106","98.91","221","0","5","21","945883"
"17","Jhajjar","0","18849","18515[1]","98.23","328","0","525","1593","986871"
"18","Fatehabad","0","17875","17394","97.31","481","0","11","75","777728"
"19","Kaithal","0","11244","10898","96.92","346","0","18","82","836866"
"20","Palwal","0","11026","10872","98.60","153","1","115","131","835121"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","0","33","631250"
"22","Nuh","0","5014","4891","97.55","123","0","410","128","440089"
"Total","","7","771294","761137[10]","98.68","10050","84","3099","7850","26027257"
