TT|2022-05-07 07:55:10.348043|GetSource|ERR|File Not Found
TT|2022-05-07 09:55:15.501275|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 09:55:28.176173|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 10:17:09.464184|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 10:17:21.082614|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 11:45:59.894265|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 11:46:14.062201|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 11:55:11.377453|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 11:55:23.629429|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 19:55:11.394258|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 19:55:27.181068|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 20:55:11.530392|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 20:55:27.593822|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 21:55:11.003492|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 21:55:29.398680|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 22:55:11.045780|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 22:55:35.140878|ExtractFromHTML|OK|COMPLETED
TT|2022-05-07 23:55:10.890293|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-05-07 23:55:28.342990|ExtractFromHTML|OK|COMPLETED
TT|2022-05-08 07:55:11.038943|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
